mixpanel_event_timestamp,mixpanel_event_readable_timestamp,user_id,operating_system,order_id,latest_ad_utm_campaign,latest_ad_utm_source,latest_ad_utm_medium,latest_ad_awcreativeid,latest_ad_awkeyword,latest_ad_awmatchtype,latest_ad_awnetwork,latest_ad_awposition,latest_ad_device,latest_ad_psgeo,latest_ad_search
1450548089,2015-12-19T13:01:29 -0500,15427,Mac OS X,149761,352064797,Google,cpc,87921668197,meal +delivery,b,g,1t3,dt,DC,?utm_campaign=352064797&utm_medium=cpc&utm_source=Google&device=dt&awkeyword=%2Bmeal%20%2Bdelivery&awposition=1t3&awnetwork=g&awmatchtype=b&awcreativeid=87921668197&psgeo=DC&geo=DC&competitor=&gclid=CjwKEAiAndSzBRDp5P232v-qtHkSJABw-VdtNm-S2LARvF45fm-Q78YJ
1451031001,2015-12-25T03:10:01 -0500,15516,iOS,151346,352064797,Google,cpc,87921668197,meal +delivery,b,g,1t3,mb,DC,?utm_campaign=352064797&utm_medium=cpc&utm_source=Google&device=mb&awkeyword=%2Bmeal%20%2Bdelivery&awposition=1t3&awnetwork=g&awmatchtype=b&awcreativeid=87921668197&psgeo=DC&geo=DC&competitor=&gclid=CjwKEAiA7_OzBRDA8OfT3orp51oSJACVqslIlSeXSrxxteMF5crpAjb_
1451215992,2015-12-27T06:33:12 -0500,15539,Mac OS X,151383,352064797,Google,cpc,87921668437,paleo +food,b,g,1t2,dt,DC,?utm_campaign=352064797&utm_medium=cpc&utm_source=Google&device=dt&awkeyword=%2Bpaleo%20%2Bfood&awposition=1t2&awnetwork=g&awmatchtype=b&awcreativeid=87921668437&psgeo=DC&geo=DC&competitor=&gclid=CjwKEAiAtf6zBRDS0oCLrL37gFUSJACr2JYb4N0BHK3UPoXdIK5XCGh8klE
1451466807,2015-12-30T04:13:27 -0500,15614,Mac OS X,153377,352064797,Google,cpc,87921668197,meal +delivery,b,g,1t3,dt,DC,?utm_campaign=352064797&utm_medium=cpc&utm_source=Google&device=dt&awkeyword=%2Bmeal%20%2Bdelivery&awposition=1t3&awnetwork=g&awmatchtype=b&awcreativeid=87921668197&psgeo=DC&geo=DC&competitor=&gclid=CIK58dDfg8oCFc4XHwodxPkM6w
1451562377,2015-12-31T06:46:17 -0500,15647,Mac OS X,153541,352064797,Google,cpc,87921667477,paleo +meals,b,g,1t1,dt,DC,?utm_campaign=352064797&utm_medium=cpc&utm_source=Google&device=dt&awkeyword=%2Bpaleo%20%2Bmeals&awposition=1t1&awnetwork=g&awmatchtype=b&awcreativeid=87921667477&psgeo=DC&geo=DC&competitor=&gclid=CMSJ4ZW5hsoCFVKQHwodwfgIbg
1451816208,2016-01-03T05:16:48 -0500,15728,Windows,153701,352064797,Google,cpc,87921668197,meal +delivery,b,g,1t3,dt,DC,?utm_campaign=352064797&utm_medium=cpc&utm_source=Google&device=dt&awkeyword=%2Bmeal%20%2Bdelivery&awposition=1t3&awnetwork=g&awmatchtype=b&awcreativeid=87921668197&psgeo=DC&geo=DC&competitor=&gclid=Cj0KEQiAqqO0BRDyo8mkv9y259EBEiQApVQD_TBPBLZJwQ1oX0nK5Q5q
1451969617,2016-01-04T23:53:37 -0500,15823,Mac OS X,153849,352064677,Google,cpc,87921666277,paleo +meals,b,g,1t2,dt,SanFran,?utm_campaign=352064677&utm_medium=cpc&utm_source=Google&device=dt&awkeyword=%2Bpaleo%20%2Bmeals&awposition=1t2&awnetwork=g&awmatchtype=b&awcreativeid=87921666277&psgeo=SanFran&geo=SF&competitor=&gclid=CjwKEAiA8K20BRDetNv3p6DNhXwSJADSwa3tX5Hk5T4B26o4LYl6f
1452760825,2016-01-14T03:40:25 -0500,16232,Mac OS X,158745,352064797,Google,cpc,87921667477,paleo +meals,b,g,1t1,dt,DC,?utm_campaign=352064797&utm_medium=cpc&utm_source=Google&device=dt&awkeyword=%2Bpaleo%20%2Bmeals&awposition=1t1&awnetwork=g&awmatchtype=b&awcreativeid=87921667477&psgeo=DC&geo=DC&competitor=&gclid=CKWyv6urqcoCFQsjHwodv_MDHQ
1452941502,2016-01-16T05:51:42 -0500,16315,iOS,158961,352064917,Google,cpc,87921669397,meal +delivery,b,g,1t3,mb,LosAngeles,?utm_campaign=352064917&utm_medium=cpc&utm_source=Google&device=mb&awkeyword=%2Bmeal%20%2Bdelivery&awposition=1t3&awnetwork=g&awmatchtype=b&awcreativeid=87921669397&psgeo=LosAngeles&geo=LA&competitor=&gclid=CO3il_7UrsoCFQotHwodMmQLmg
1453129293,2016-01-18T10:01:33 -0500,15656,Windows,159043,352064797,Google,cpc,87921667477,paleo +meals,b,g,1t2,dt,DC,?utm_campaign=352064797&utm_medium=cpc&utm_source=Google&device=dt&awkeyword=%2Bpaleo%20%2Bmeals&awposition=1t2&awnetwork=g&awmatchtype=b&awcreativeid=87921667477&psgeo=DC&geo=DC&competitor=&gclid=Cj0KEQiAno60BRDt89rAh7qt-4wBEiQASes2tVN_S2mVkVYVuf75zZgIn6
